Customer_ID,Age,Gender,Annual_Income,Spending_Score,City,Transaction_Count,Avg_Purchase_Value,Membership_Type,Churn
C00001,39,Female,113338.1,43.34,Kolkata,27,279.53,Gold,0
C00002,33,Male,61943.12,81.32,Kolkata,22,393.47,Silver,0
C00003,41,Female,82333.63,60.36,Chennai,21,442.56,Silver,0
C00004,50,Female,64641.89,60.75,Bangalore,13,286.27,Silver,1
C00005,32,Female,69977.66,35.95,Delhi,22,502.26,Silver,0
C00006,32,Male,53157.03,40.2,Delhi,22,126.14,Silver,0
C00007,50,Female,63901.54,43.5,Bangalore,20,209.73,Gold,0
C00008,42,Female,70749.57,60.93,Chennai,23,252.24,Silver,0
C00009,30,Female,48430.81,61.56,Chennai,21,405.65,Platinum,1
C00010,40,Male,58450.11,90.88,Bangalore,16,323.05,Platinum,0
C00011,30,Male,58831.4,67.7,Bangalore,21,232.5,Gold,1
C00012,30,Female,76528.07,5.85,Mumbai,27,187.4,Gold,0
C00013,37,Male,38679.36,65.25,Chennai,24,150.65,Silver,1
C00014,18,Female,58969.16,,Kolkata,18,351.62,Gold,1
C00015,18,Male,98240.11,40.68,Delhi,21,261.06,Platinum,0
C00016,29,Male,83281.2,43.76,Chennai,12,401.44,Silver,1
C00017,24,Female,86983.58,46.73,Bangalore,17,156.65,Silver,1
C00018,38,Female,60488.64,32.5,Kolkata,20,342.72,Silver,0
C00019,25,Female,66419.95,64.07,Mumbai,19,295.76,Gold,0
C00020,20,Male,,31.78,Mumbai,23,238.64,Silver,0
C00021,49,Female,91205.11,67.13,Kolkata,22,245.9,Silver,1
C00022,32,Male,20967.94,100.0,Kolkata,18,310.29,Gold,0
C00023,35,Male,33691.17,33.41,Bangalore,13,296.85,Silver,0
C00024,20,Female,86188.88,54.31,Bangalore,25,210.84,Gold,0
C00025,29,Male,54462.21,9.53,Delhi,22,351.56,Silver,0
C00026,36,Female,46565.58,53.98,Delhi,27,420.51,Silver,0
C00027,23,Male,34916.78,72.85,Mumbai,17,275.61,Silver,0
C00028,38,Female,48899.67,74.41,Kolkata,19,358.17,Gold,0
C00029,28,Male,31952.61,61.55,Mumbai,24,284.06,Platinum,1
