age,income,experience,score,click_rate,time_spent,noise1,noise2,target
58,83865,23,70,0.13,45,0.14659841356285608,0.28206683660531406,0
48,76686,6,59,0.2,52,0.656071116977206,0.2842840597184866,1
34,34675,21,94,0.28,36,0.5581023768728511,0.018299986703970483,1
27,96706,16,58,0.13,46,0.8426403122148679,0.69243089075629,0
40,40068,5,87,0.26,61,0.18325288572775345,0.7759483026755978,1
58,84460,9,55,0.05,24,0.8479854599282461,0.03242777292368959,0
38,76418,14,91,0.05,26,0.5779111725598561,0.5859345391309533,1
42,56206,8,84,0.24,44,0.2662231939797156,0.7816726677704219,1
30,30287,14,67,0.24,27,0.2735531405685112,0.3762400483910022,0
30,52337,12,68,0.25,53,0.3903803901438524,0.43274158285468967,0
43,50666,10,54,0.28,60,0.46012721666679424,0.3616248999121402,0
55,31161,20,74,0.08,23,0.08250508473688267,0.315650718566474,0
59,68751,20,60,0.11,31,0.8419991656663279,0.49114172365192077,0
43,44758,21,59,0.28,77,0.12154106932419406,0.16610066013322455,0
22,95780,13,66,0.09,50,0.48345984302988165,0.440687681231859,0
41,33178,19,85,0.22,30,0.38296823319092177,0.9418251242722054,1
21,61831,15,75,0.18,56,0.5122870843119428,0.027402097797213254,1
43,32176,8,80,0.07,63,0.887482517068172,0.16474341585302876,0
49,63654,23,81,0.12,78,0.9890883398561062,0.777702390646421,1
57,56627,21,70,0.18,72,0.02027137268275836,0.13205708991371168,0
21,82550,10,67,0.26,55,0.39323943172519416,0.2712808995027455,1
40,74910,3,67,0.23,64,0.8176105309172436,0.4548389240443558,1
52,88251,21,50,0.21,41,0.32660288026197704,0.9431622576411046,1
31,65422,3,63,0.17,20,0.6490361759185217,0.18350118730356946,1
41,41984,5,57,0.12,69,0.9922592037664605,0.9230845940043164,0
44,91386,16,51,0.08,23,0.6467712888159438,0.7185245127128526,0
46,37135,17,64,0.15,55,0.11119137762326892,0.671144911743172,0
47,30320,6,83,0.06,27,0.8429319569539856,0.723542524050032,0
35,51684,20,85,0.1,44,0.9666574372925296,0.031246618969337447,0
34,85913,20,50,0.16,47,0.7125084212988676,0.09890026106951932,1
22,51889,16,70,0.15,71,0.41906809984307025,0.33484152874022843,0
56,78899,24,91,0.06,57,0.9484001753454244,0.07396753314867766,1
26,40770,2,50,0.2,55,0.9685720150491983,0.987589709495422,0
40,69321,20,81,0.19,55,0.9351167434991574,0.5804122081451776,1
